"","year","state_province","state","substate","territory_type","division","subdivision","agency","subagency","district","subdistrict","city","taluk","political_relations","area_sqmile","towns","villages","total_occupied_houses","occupied_houses_towns","occupied_houses_villages","occupied_houses_other","totalp","urbanp","ruralp","totalmale","urbanmale","ruralmale","totalfemale","urbanfemale","ruralfemale"
"1",1931,"United Provinces of Agra and Oudh",NA,NA,"provinces",NA,NA,NA,NA,"united provinces",NA,NA,NA,NA,112191,450,111001,10394577,1260888,NA,9133689,49614833,5550759,44064074,26063177,3072580,22990597,23551656,2478179,21073477
"2",1931,"United Provinces of Agra and Oudh",NA,NA,"british total",NA,NA,NA,NA,"british territory",NA,NA,NA,NA,106248,441,105640,10142209,1235767,NA,8906442,48408763,5424621,42984142,25445006,3005148,22439858,22963757,2419473,20544284
"3",1931,"United Provinces of Agra and Oudh",NA,NA,"provinces",NA,NA,NA,NA,"agra province",NA,NA,NA,NA,82094,367,81311,7398844,1033806,NA,6365038,35613784,4499908,31113876,18805132,2489610,16315522,16808652,2010298,14798354
"4",1931,"United Provinces of Agra and Oudh",NA,NA,"division",NA,NA,NA,NA,"meerut division",NA,NA,NA,NA,9180,79,5934,1033587,188287,NA,845300,4907632,871067,4036565,2675930,496433,2179497,2231702,374634,1857068
"5",1931,"United Provinces of Agra and Oudh",NA,NA,"district",NA,NA,NA,NA,"dehradun",NA,NA,NA,NA,1189,7,424,48895,14891,NA,34004,230247,64392,165855,137569,42912,94657,92678,21480,71198
"6",1931,"United Provinces of Agra and Oudh",NA,NA,"district",NA,NA,NA,NA,"saharanpur",NA,NA,NA,NA,2133,15,1620,237292,48151,NA,189141,1043920,208504,835416,573810,118528,455282,470110,89976,380134
"7",1931,"United Provinces of Agra and Oudh",NA,NA,"district",NA,NA,NA,NA,"muzaffarnagar",NA,NA,NA,NA,1654,14,909,183197,29014,NA,154183,894662,134710,759952,489306,75706,413600,405356,59004,346352
"8",1931,"United Provinces of Agra and Oudh",NA,NA,"district",NA,NA,NA,NA,"meerut",NA,NA,NA,NA,2293,24,1458,322209,57860,NA,264349,1601918,288593,1313325,871267,164162,707105,730651,124431,606220
"9",1931,"United Provinces of Agra and Oudh",NA,NA,"district",NA,NA,NA,NA,"bulandshahr",NA,NA,NA,NA,1911,19,1523,241994,38371,NA,203623,1136885,174868,962017,603978,95125,508853,532907,79743,453164
"10",1931,"United Provinces of Agra and Oudh",NA,NA,"division",NA,NA,NA,NA,"agra division",NA,NA,NA,NA,8638,71,6755,958647,177230,NA,781417,4498246,789061,3709185,2452301,438367,2013934,2045945,350694,1695251
"11",1931,"United Provinces of Agra and Oudh",NA,NA,"district",NA,NA,NA,NA,"aligarh",NA,NA,NA,NA,1947,17,1779,250913,43632,NA,207281,1171745,198902,972843,636037,112022,524015,535708,86880,448828
"12",1931,"United Provinces of Agra and Oudh",NA,NA,"district",NA,NA,NA,NA,"muttra",NA,NA,NA,NA,1450,16,838,142597,30415,NA,112182,668074,130947,537127,364292,71872,292420,303782,59075,244707
"13",1931,"United Provinces of Agra and Oudh",NA,NA,"district",NA,NA,NA,NA,"agra",NA,NA,NA,NA,1849,12,1201,215287,66003,NA,149284,1048316,290592,757724,572958,161368,411590,475358,129224,346134
"14",1931,"United Provinces of Agra and Oudh",NA,NA,"district",NA,NA,NA,NA,"mainpuri",NA,NA,NA,NA,1674,10,1400,164507,12284,NA,152223,749633,54504,695129,412600,30700,381900,337033,23804,313229
"15",1931,"United Provinces of Agra and Oudh",NA,NA,"district",NA,NA,NA,NA,"etah",NA,NA,NA,NA,1718,16,1537,185343,24896,NA,160447,860478,114116,746362,466414,62405,404009,394064,51711,342353
"16",1931,"United Provinces of Agra and Oudh",NA,NA,"division",NA,NA,NA,NA,"rohilkhand division",NA,NA,NA,NA,10786,67,11523,1218734,199831,NA,1018903,5556105,990556,4565549,2991787,533556,2458231,2564318,457000,2107318
"17",1931,"United Provinces of Agra and Oudh",NA,NA,"district",NA,NA,NA,NA,"bareilly",NA,NA,NA,NA,1579,12,1957,232011,38380,NA,193631,1072379,199439,872940,579860,108823,471037,492519,90616,401903
